="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Intensity Definition: Total Cost, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT"
="log ECSP";="";="-0.0257**";="-0.0471***";="-0.0442***";="-0.0245*";="";="-0.0418**";="-0.0447***";="-0.0320**";=""
="";="";="(0.0115)";="(0.0140)";="(0.0144)";="(0.0142)";="";="(0.0170)";="(0.0151)";="(0.0133)";=""
="log ECSP X ENVI";="";="";="1.019**";="0.897**";="1.040**";="1.225***";="";="";="";=""
="";="";="";="(0.430)";="(0.448)";="(0.440)";="(0.445)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0302*";="0.0366**";="0.0497***";="0.0596***"
="";="";="";="";="";="";="";="(0.0170)";="(0.0164)";="(0.0159)";="(0.0153)"
="log R&D Intensity";="0.0206***";="0.0204***";="0.0242***";="0.0242***";="0.00873**";="";="0.0208***";="0.0216***";="0.00949***";=""
="";="(0.00404)";="(0.00401)";="(0.00452)";="(0.00451)";="(0.00391)";="";="(0.00401)";="(0.00403)";="(0.00327)";=""
="log Skill Intensity";="0.00641";="0.0110";="0.0165";="0.00120";="0.000441";="";="0.0101";="-0.0296";="-0.0173";=""
="";="(0.0143)";="(0.0137)";="(0.0169)";="(0.0546)";="(0.0547)";="";="(0.0137)";="(0.0340)";="(0.0322)";=""
="log Other Machinery Intensity";="0.0311***";="0.0417***";="0.0623***";="0.123";="0.138";="";="0.0417***";="-0.0158";="0.0400";=""
="";="(0.0104)";="(0.0105)";="(0.0140)";="(0.101)";="(0.0993)";="";="(0.0105)";="(0.0486)";="(0.0504)";=""
="log Building Intensity";="-0.00994*";="-0.00868";="-0.0116";="-0.0890";="-0.0787";="";="-0.00858";="-0.0235";="-0.0286";=""
="";="(0.00584)";="(0.00593)";="(0.00726)";="(0.0671)";="(0.0644)";="";="(0.00596)";="(0.0369)";="(0.0353)";=""
="log Auto Intensity";="-0.0243***";="-0.0226***";="-0.0341***";="-0.0873*";="-0.0978**";="";="-0.0224***";="-0.00675";="-0.0307";=""
="";="(0.00491)";="(0.00474)";="(0.00640)";="(0.0490)";="(0.0467)";="";="(0.00476)";="(0.0246)";="(0.0270)";=""
="log Computer Intensity";="-0.00725";="-0.0111";="-0.00412";="-0.0255";="-0.0198";="";="-0.0113";="0.0102";="-0.00412";=""
="";="(0.00764)";="(0.00762)";="(0.0108)";="(0.0725)";="(0.0725)";="";="(0.00763)";="(0.0403)";="(0.0419)";=""
="Contractibility";="-0.0708***";="-0.0559***";="-0.0781***";="-0.107**";="-0.102**";="";="-0.0576***";="-0.0312";="-0.0319";=""
="";="(0.0198)";="(0.0189)";="(0.0239)";="(0.0445)";="(0.0453)";="";="(0.0189)";="(0.0293)";="(0.0309)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.00660";="0.00580";="0.0105";="";="0.0184";="0.0118";="0.0147"
="";="";="";="";="(0.0217)";="(0.0218)";="(0.0218)";="";="(0.0126)";="(0.0126)";="(0.0116)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="-0.00497";="-0.00821";="-0.00830";="";="0.00502";="-0.00103";="-0.00147"
="";="";="";="";="(0.00817)";="(0.00799)";="(0.00778)";="";="(0.00401)";="(0.00420)";="(0.00443)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00628";="0.00610";="0.00561";="";="0.00123";="0.00214";="0.00257"
="";="";="";="";="(0.00550)";="(0.00522)";="(0.00527)";="";="(0.00314)";="(0.00298)";="(0.00292)"
="log Auto Intensity X log Capital Abundance";="";="";="";="0.00432";="0.00622";="0.00578";="";="-0.00142";="0.00157";="0.00136"
="";="";="";="";="(0.00407)";="(0.00384)";="(0.00383)";="";="(0.00213)";="(0.00232)";="(0.00223)"
="log Computer Intensity X log Capital Abundance";="";="";="";="0.00173";="0.00113";="0.000778";="";="-0.00150";="-0.000731";="-0.00113"
="";="";="";="";="(0.00588)";="(0.00590)";="(0.00592)";="";="(0.00329)";="(0.00345)";="(0.00313)"
="Contractibility X Rule of Law";="";="";="";="0.0414";="0.0308";="0.0296";="";="-0.0478";="-0.0449";="-0.0502"
="";="";="";="";="(0.0641)";="(0.0632)";="(0.0624)";="";="(0.0446)";="(0.0448)";="(0.0457)"
="Dispersion";="";="";="";="";="0.0589**";="";="";="";="0.0634***";=""
="";="";="";="";="";="(0.0267)";="";="";="";="(0.0209)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.117***";="";="";="";="-0.125***";=""
="";="";="";="";="";="(0.0407)";="";="";="";="(0.0320)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.108***";="";="";="";="-0.0853***";=""
="";="";="";="";="";="(0.0402)";="";="";="";="(0.0301)";=""
="1(sigma>median)=1";="";="";="";="";="-0.00915";="";="";="";="-0.0342";=""
="";="";="";="";="";="(0.0334)";="";="";="";="(0.0263)";=""
="External Finance Dependence";="";="";="";="";="-0.00786";="";="";="";="-0.00395";=""
="";="";="";="";="";="(0.0221)";="";="";="";="(0.0150)";=""
="Asset Tangibility";="";="";="";="";="-0.308***";="";="";="";="-0.220**";=""
="";="";="";="";="";="(0.110)";="";="";="";="(0.0950)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000193";="0.000182";="";="";="0.000180**";="0.000209***"
="";="";="";="";="";="(0.000124)";="(0.000124)";="";="";="(0.0000782)";="(0.0000796)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.00127**";="0.00132**";="";="";="0.000328";="0.000553"
="";="";="";="";="";="(0.000595)";="(0.000614)";="";="";="(0.000509)";="(0.000495)"
="Sales Volatility";="";="";="";="";="0.0985";="";="";="";="0.0935";=""
="";="";="";="";="";="(0.299)";="";="";="";="(0.234)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.204";="-0.233";="";="";="-0.112";="-0.125"
="";="";="";="";="";="(0.381)";="(0.378)";="";="";="(0.271)";="(0.252)"
="Intermediation";="";="";="";="";="-0.0699";="";="";="";="0.0713";=""
="";="";="";="";="";="(0.121)";="";="";="";="(0.0778)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.304*";="-0.329**";="";="";="-0.450***";="-0.419***"
="";="";="";="";="";="(0.167)";="(0.166)";="";="";="(0.120)";="(0.121)"
="Constant";="0.241***";="0.128*";="0.296***";="0.296***";="0.477***";="1.249**";="0.130*";="0.173**";="0.307***";="0.796***"
="";="(0.0497)";="(0.0747)";="(0.0810)";="(0.0809)";="(0.112)";="(0.505)";="(0.0754)";="(0.0734)";="(0.0965)";="(0.298)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="214";="212";="210";="210";="209";="210";="212";="212";="209";="210"
="Adj. R2";="0.167";="0.169";="0.161";="0.161";="0.189";="0.249";="0.171";="0.173";="0.195";="0.236"
="Observations";="134511";="133985";="36093";="36093";="36075";="36093";="131488";="114578";="103394";="103421"
