="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Intensity Definition: Total Cost, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT"
="log ECSP";="";="-0.0258**";="-0.0414***";="-0.0371**";="-0.0180";="";="-0.0423**";="-0.0444***";="-0.0318**";=""
="";="";="(0.0127)";="(0.0143)";="(0.0144)";="(0.0141)";="";="(0.0183)";="(0.0164)";="(0.0138)";=""
="log ECSP X ENVI";="";="";="0.874**";="0.691";="0.943**";="1.225***";="";="";="";=""
="";="";="";="(0.433)";="(0.447)";="(0.446)";="(0.445)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0307*";="0.0354**";="0.0536***";="0.0596***"
="";="";="";="";="";="";="";="(0.0179)";="(0.0175)";="(0.0167)";="(0.0153)"
="log R&D Intensity";="0.0238***";="0.0224***";="0.0293***";="0.0293***";="0.0175***";="";="0.0225***";="0.0237***";="0.0141***";=""
="";="(0.00394)";="(0.00410)";="(0.00516)";="(0.00515)";="(0.00451)";="";="(0.00414)";="(0.00413)";="(0.00391)";=""
="log Skill Intensity";="0.000415";="0.00597";="0.000842";="-0.00458";="-0.00723";="";="0.00527";="-0.0257";="-0.0196";=""
="";="(0.0155)";="(0.0151)";="(0.0177)";="(0.0549)";="(0.0562)";="";="(0.0151)";="(0.0371)";="(0.0333)";=""
="log Other Machinery Intensity";="0.0349***";="0.0463***";="0.0638***";="0.127";="0.127";="";="0.0466***";="-0.0242";="0.0349";=""
="";="(0.0109)";="(0.0109)";="(0.0145)";="(0.101)";="(0.101)";="";="(0.0109)";="(0.0523)";="(0.0531)";=""
="log Building Intensity";="-0.0116*";="-0.0103";="-0.0146*";="-0.0979";="-0.0894";="";="-0.0102";="-0.0236";="-0.0301";=""
="";="(0.00661)";="(0.00679)";="(0.00819)";="(0.0727)";="(0.0688)";="";="(0.00682)";="(0.0401)";="(0.0375)";=""
="log Auto Intensity";="-0.0196***";="-0.0187***";="-0.0248***";="-0.108**";="-0.109**";="";="-0.0185***";="-0.0112";="-0.0303";=""
="";="(0.00513)";="(0.00492)";="(0.00710)";="(0.0539)";="(0.0505)";="";="(0.00496)";="(0.0249)";="(0.0276)";=""
="log Computer Intensity";="-0.00189";="-0.00537";="0.00717";="0.00347";="-0.00324";="";="-0.00540";="0.0352";="0.0109";=""
="";="(0.00873)";="(0.00875)";="(0.0113)";="(0.0740)";="(0.0737)";="";="(0.00882)";="(0.0426)";="(0.0431)";=""
="Contractibility";="-0.0533**";="-0.0384*";="-0.0604**";="-0.0953**";="-0.101**";="";="-0.0401*";="-0.0124";="-0.0226";=""
="";="(0.0212)";="(0.0204)";="(0.0249)";="(0.0456)";="(0.0467)";="";="(0.0205)";="(0.0315)";="(0.0318)";=""
="Country X Industry Interactions ";="No";="No";="No";="Yes";="Yes";="Yes";="No";="Yes";="Yes";="Yes"
="Dispersion, Antràs Chor (2013) ";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes";="No"
="Add. CA Controls, Intermediation + Interactions ";="No";="No";="No";="No";="Yes";="Yes";="No";="No";="Yes";="Yes"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="210";="208";="206";="206";="200";="210";="208";="208";="201";="210"
="Adj. R2";="0.161";="0.163";="0.154";="0.154";="0.194";="0.249";="0.164";="0.166";="0.197";="0.236"
="Observations";="128037";="127511";="34565";="34565";="33903";="36093";="125105";="108893";="96663";="103421"
